Left(OverLapFx) -> PosX [39] | PosY [3] | HistPosX+2 [38] | HistPosY+2 [2] | OverLapInx [25]
Left(OverLapFx) -> PosX [2] | PosY [3] | HistPosX+2 [2] | HistPosY+2 [5] | OverLapInx [64]
Left(OverLapFx) -> PosX [2] | PosY [18] | HistPosX+2 [3] | HistPosY+2 [19] | OverLapInx [79]
Left(OverLapFx) -> PosX [39] | PosY [18] | HistPosX+2 [39] | HistPosY+2 [16] | OverLapInx [118]
Left(OverLapFx) -> PosX [39] | PosY [7] | HistPosX+2 [38] | HistPosY+2 [3] | OverLapInx [129]
Left(OverLapFx) -> PosX [2] | PosY [7] | HistPosX+2 [2] | HistPosY+2 [9] | OverLapInx [68]
Left(OverLapFx) -> PosX [2] | PosY [18] | HistPosX+2 [3] | HistPosY+2 [19] | OverLapInx [79]
Left(OverLapFx) -> PosX [37] | PosY [18] | HistPosX+2 [38] | HistPosY+2 [7] | OverLapInx [201]
Left(OverLapFx) -> PosX [37] | PosY [7] | HistPosX+2 [35] | HistPosY+2 [7] | OverLapInx [204]
Left(OverLapFx) -> PosX [4] | PosY [7] | HistPosX+2 [37] | HistPosY+2 [17] | OverLapInx [237]
Left(OverLapFx) -> PosX [4] | PosY [18] | HistPosX+2 [6] | HistPosY+2 [18] | OverLapInx [168]
Left(OverLapFx) -> PosX [37] | PosY [18] | HistPosX+2 [38] | HistPosY+2 [7] | OverLapInx [201]
Left(OverLapFx) -> PosX [37] | PosY [9] | HistPosX+2 [4] | HistPosY+2 [8] | OverLapInx [247]
Left(OverLapFx) -> PosX [4] | PosY [9] | HistPosX+2 [4] | HistPosY+2 [11] | OverLapInx [250]
Left(OverLapFx) -> PosX [4] | PosY [16] | HistPosX+2 [36] | HistPosY+2 [9] | OverLapInx [257]
